year,holiday_name,holiday_date
2018,Sunday,2018/06/17
2018,Saturday,2018/06/23
2018,Sunday,2018/06/24
2018,Saturday,2018/06/30
2018,Sunday,2018/07/01
2018,Saturday,2018/07/07
2018,Sunday,2018/07/08
2018,Saturday,2018/07/14
2018,Sunday,2018/07/15
2018,Saturday,2018/07/21
2018,Sunday,2018/07/22
2018,Saturday,2018/07/28
2018,Sunday,2018/07/29
2018,Saturday,2018/08/04
2018,Sunday,2018/08/05
2018,Saturday,2018/08/11
2018,Sunday,2018/08/12
2018,Saturday,2018/08/18
2018,Sunday,2018/08/19
2018,Saturday,2018/08/25
2018,Sunday,2018/08/26
2018,Saturday,2018/09/01
2018,Sunday,2018/09/02
2018,Saturday,2018/09/08
2018,Sunday,2018/09/09
2018,Saturday,2018/09/15
2018,Sunday,2018/09/16
2018,Saturday,2018/09/22
2018,Sunday,2018/09/23
2018,Saturday,2018/09/29
2018,Sunday,2018/09/30
2018,Saturday,2018/10/06
2018,Sunday,2018/10/07
2018,Saturday,2018/10/13
2018,Sunday,2018/10/14
2018,Saturday,2018/10/20
2018,Sunday,2018/10/21
2018,Saturday,2018/10/27
2018,Sunday,2018/10/28
2018,Saturday,2018/11/03
2018,Sunday,2018/11/04
2018,Saturday,2018/11/10
2018,Sunday,2018/11/11
2018,Saturday,2018/11/17
2018,Sunday,2018/11/18
2018,Saturday,2018/11/24
2018,Sunday,2018/11/25
2018,Saturday,2018/12/01
2018,Sunday,2018/12/02
2018,Saturday,2018/12/08
2018,Sunday,2018/12/09
2018,Saturday,2018/12/15
2018,Sunday,2018/12/16
2018,Saturday,2018/12/22
2018,Sunday,2018/12/23
2018,Saturday,2018/12/29
2018,Sunday,2018/12/30
2019,Saturday,2019/01/05
2019,Sunday,2019/01/06
2019,Saturday,2019/01/12
2019,Sunday,2019/01/13
2019,Saturday,2019/01/19
2019,Sunday,2019/01/20
2019,Saturday,2019/01/26
2019,Sunday,2019/01/27
2019,Saturday,2019/02/02
2019,Sunday,2019/02/03
2019,Saturday,2019/02/09
2019,Sunday,2019/02/10
2019,Saturday,2019/02/16
2019,Sunday,2019/02/17
2019,Saturday,2019/02/23
2019,Sunday,2019/02/24
2019,Saturday,2019/03/02
2019,Sunday,2019/03/03
2019,Saturday,2019/03/09
2019,Sunday,2019/03/10
2019,Saturday,2019/03/16
2019,Sunday,2019/03/17
2019,Saturday,2019/03/23
2019,Sunday,2019/03/24
2019,Saturday,2019/03/30
2019,Sunday,2019/03/31
2019,Saturday,2019/04/06
2019,Sunday,2019/04/07
2019,Saturday,2019/04/13
2019,Sunday,2019/04/14
2019,Saturday,2019/04/20
2019,Sunday,2019/04/21
2019,Saturday,2019/04/27
2019,Sunday,2019/04/28
2019,Saturday,2019/05/04
2019,Sunday,2019/05/05
2019,Saturday,2019/05/11
2019,Sunday,2019/05/12
2019,Saturday,2019/05/18
2019,Sunday,2019/05/19
2019,Saturday,2019/05/25
2019,Sunday,2019/05/26
2019,Saturday,2019/06/01
2019,Sunday,2019/06/02
2019,Saturday,2019/06/08
2019,Sunday,2019/06/09
2019,Saturday,2019/06/15
2019,Sunday,2019/06/16
2019,Saturday,2019/06/22
2019,Sunday,2019/06/23
2019,Saturday,2019/06/29
2019,Sunday,2019/06/30
2019,Saturday,2019/07/06
