SEASON,SECTOR,PERMIT_NUMBER,RIGHT_NUMBER,PERMIT_STATUS_NAME,Quota_code
2017-2018,WCRLN,1709250,WCNC15490,Expired,0
2017-2018,WCRLN,1709256,WCNB151048,Expired,0
2017-2018,WCRLN,1709260,WCNE150334,Expired,0
2017-2018,WCRLN,1709266,WCNF150226,Cancelled,0
2017-2018,WCRLN,1709267,WCNF150115,Cancelled,0
2017-2018,WCRLN,1709269,WCNF152255,Cancelled,0
2017-2018,WCRLN,1709270,WCNF152416,Cancelled,0
2017-2018,WCRLN,1709271,WCNB15573,Expired,0
2017-2018,WCRLN,1709273,WCND150112,Expired,0
2017-2018,WCRLN,1709277,WCND150287,Expired,0
2017-2018,WCRLN,1709278,WCND151082,Expired,0
2017-2018,WCRLN,1709279,WCNF151644,Cancelled,0
2017-2018,WCRLN,1709280,WCND150099,Expired,0
2017-2018,WCRLN,1709282,WCNF151629,Cancelled,0
2017-2018,WCRLN,1709285,WCNF152064,Cancelled,0
2017-2018,WCRLN,1709350,WCNC15947,Cancelled,0
2017-2018,WCRLN,1709351,WCNC15934,Expired,0
2017-2018,WCRLN,1709352,WCNB15313,Expired,0
2017-2018,WCRLN,1709355,WCNC15082,Expired,0
2017-2018,WCRLN,1709358,WCNC15509,Expired,0
2017-2018,WCRLN,1709371,WCNB15193,Expired,0
2017-2018,WCRLN,1709402,WCNF150953,Cancelled,0
2017-2018,WCRLN,1709403,WCND150147,Expired,0
2017-2018,WCRLN,1709404,WCNE151701,Expired,0
2017-2018,WCRLN,1709405,WCNF150596,Cancelled,0
2017-2018,WCRLN,1709406,WCNE150664,Expired,0
2017-2018,WCRLN,1709407,WCND151840,Expired,0
2017-2018,WCRLN,1709410,WCNE150663,Cancelled,0
2017-2018,WCRLN,1709457,WCNB15712,Cancelled,0
2017-2018,WCRLN,1709459,WCNB15494,Cancelled,0
2017-2018,WCRLN,1709461,WCNB15361,Cancelled,0
2017-2018,WCRLN,1709468,WCND150323,Cancelled,0
2017-2018,WCRLN,1709469,WCND150322,Expired,0
2017-2018,WCRLN,1709472,WCND150321,Expired,0
2017-2018,WCRLN,1709474,WCND150325,Cancelled,0
2017-2018,WCRLN,1709485,WCNE150435,Expired,0
2017-2018,WCRLN,1709501,WCND150349,Expired,0
