SEASON,SECTOR,PERMIT_NUMBER,RIGHT_NUMBER,PERMIT_STATUS_NAME,Quota_code
2017-2018,WCRLN,1800882,WCNE150340,Expired,0
2017-2018,WCRLN,1800888,WCNB151001,Expired,0
2017-2018,WCRLN,1800897,WCNB151737,Expired,0
2017-2018,WCRLN,1800900,WCND150143,Expired,0
2017-2018,WCRLN,1800909,WCNC16046,Expired,0
2017-2018,WCRLN,1800916,WCNC15849,Approved,0
2017-2018,WCRLN,1800917,WCND150061,Expired,0
2017-2018,WCRLN,1800960,WCND151069,Expired,0
2017-2018,WCRLN,1801029,WCND150560,Expired,0
2017-2018,WCRLN,1801054,WCND150152,Expired,0
2017-2018,WCRLN,1801056,WCNE150305,Expired,0
2017-2018,WCRLN,1801057,WCNB15377,Expired,0
2017-2018,WCRLN,1801058,WCNF151476,Cancelled,0
2017-2018,WCRLN,1801068,WCNF152401,Expired,0
2017-2018,WCRLN,1801127,WCNB15602,Expired,0
2017-2018,WCRLN,1801181,WCND150394,Expired,0
2017-2018,WCRLN,1801182,WCND150543,Expired,0
2017-2018,WCRLN,1801183,WCND150366,Expired,0
2017-2018,WCRLN,1801235,WCND150365,Expired,0
2017-2018,WCRLN,1801244,WCNC15181,Expired,0
2017-2018,WCRLN,1801246,WCNF150471,Expired,0
2017-2018,WCRLN,1801253,WCND150323,Expired,0
2017-2018,WCRLN,1801255,WCND150325,Expired,0
2017-2018,WCRLN,1801292,WCNB151151,Deleted,0
2017-2018,WCRLN,1801293,WCNB15367,Expired,0
2017-2018,WCRLN,1801312,WCNA15431,Expired,0
2017-2018,WCRLN,1801315,WCNA15462,Expired,0
2017-2018,WCRLN,1801439,WCNF151638,Expired,0
2017-2018,WCRLN,1801448,WCNE150633,Expired,0
2017-2018,WCRLN,1801449,WCNF151639,Expired,0
2017-2018,WCRLN,1801563,WCND151303,Expired,0
2017-2018,WCRLN,1801569,WCNE150554,Expired,0
2017-2018,WCRLN,1801574,WCNF151265,Expired,0
2017-2018,WCRLN,1801599,WCND151718,Expired,0
2017-2018,WCRLN,1801610,WCND151420,Expired,0
2017-2018,WCRLN,1801646,WCNE150632,Expired,0
2017-2018,WCRLN,1801675,WCNF151467,Expired,0
2017-2018,WCRLN,1801689,WCNE150605,Expired,0
2017-2018,WCRLN,1801722,WCND150100,Expired,0
2017-2018,WCRLN,1801779,WCNF150563,Expired,0
2017-2018,WCRLN,1801784,WCND151387,Deleted,0
2017-2018,WCRLN,1801786,WCND150123,Expired,0
2017-2018,WCRLN,1801794,WCNF151098,Cancelled,0
2017-2018,WCRLN,1801795,WCNF150537,Cancelled,0
2017-2018,WCRLN,1801799,WCND151387,Expired,0
2017-2018,WCRLN,1801976,WCND151384,Expired,0
2017-2018,WCRLN,1802063,WCND151443,Expired,0
2017-2018,WCRLN,1802066,WCNA15446,Expired,0
2017-2018,WCRLN,1802139,WCNF151476,Expired,0
2017-2018,WCRLN,1802193,WCNB151151,Expired,0
2017-2018,WCRLN,1802195,WCND150391,Cancelled,0
2017-2018,WCRLN,1802265,WCNF151623,Expired,0
2017-2018,WCRLN,1802268,WCNF150537,Expired,0
2017-2018,WCRLN,1802397,WCND151741,Expired,0
2017-2018,WCRLN,1802400,WCND151734,Expired,0
2017-2018,WCRLN,1802404,WCND151330,Expired,0
2017-2018,WCRLN,1802440,WCNA15313,Expired,0
2017-2018,WCRLN,1802441,WCND150958,Awaiting approval,0
2017-2018,WCRLN,1802470,WCND151211,Expired,0
2017-2018,WCRLN,1802524,WCND151252,Expired,0
2017-2018,WCRLN,1802525,WCND150368,Expired,0
2017-2018,WCRLN,1802526,WCND150973,Expired,0
2017-2018,WCRLN,1802563,WCNF150514,Expired,0
2017-2018,WCRLN,1802577,WCND150557,Expired,0
2017-2018,WCRLN,1802592,WCND150391,Expired,0
2017-2018,WCRLN,1802735,WCND150998,Approved,0
2017-2018,WCRLN,1802743,WCNF150162,Expired,0
2017-2018,WCRLN,1802798,WCND150646,Expired,0
2017-2018,WCRLN,1802800,WCNF150205,Expired,0
2017-2018,WCRLN,1803251,WCNB15152,Cancelled,0
2017-2018,WCRLN,1803273,WCND150392,Expired,0
2017-2018,WCRLN,1803275,WCNB15152,Expired,0
2017-2018,WCRLN,1803301,WCNB151800,Expired,0
2017-2018,WCRLN,1803332,WCND151741,Expired,0
2017-2018,WCRLN,1803333,WCND151365,Expired,0
2017-2018,WCRLN,1803334,WCNB15611,Cancelled,0
2017-2018,WCRLN,1803338,WCNB15611,Expired,0
2017-2018,WCRLN,1803474,WCNF151098,Expired,0
2017-2018,WCRLN,1803564,WCNB151565,Expired,0
2017-2018,WCRLN,1803687,WCND150363,Cancelled,0
2017-2018,WCRLN,1803692,WCND150363,Expired,0
2017-2018,WCRLN,1803906,WCNF151173,Expired,0
2017-2018,WCRLN,1804192,WCNF150709,Expired,0
2018-2019,WCRLN,806300,WCND00140,Deleted,0
2018-2019,WCRLN,911710,WCNG00217,Deleted,0
2018-2019,WCRLN,1808532,WCNB15219,Expired,0
2018-2019,WCRLN,1808533,WCNB15714,Expired,0
2018-2019,WCRLN,1808534,WCNB15210,Expired,0
2018-2019,WCRLN,1808539,WCNC15260,Expired,0
2018-2019,WCRLN,1808541,WCND150324,Expired,0
2018-2019,WCRLN,1808542,WCND151385,Cancelled,0
2018-2019,WCRLN,1808612,WCNB15701,Expired,0
2018-2019,WCRLN,1808613,WCNB151096,Expired,0
2018-2019,WCRLN,1808614,WCNF152163,Expired,0
2018-2019,WCRLN,1808615,WCND150317,Expired,0
2018-2019,WCRLN,1808616,WCND151405,Expired,0
2018-2019,WCRLN,1808621,WCNB15573,Expired,0
2018-2019,WCRLN,1808623,WCNB15888,Expired,0
2018-2019,WCRLN,1808624,WCNF150461,Expired,0
2018-2019,WCRLN,1808626,WCND151290,Expired,0
2018-2019,WCRLN,1808631,WCNB15564,Expired,0
2018-2019,WCRLN,1808632,WCND150359,Expired,0
2018-2019,WCRLN,1808633,WCND151814,Expired,0
2018-2019,WCRLN,1808634,WCNB15820,Expired,0
2018-2019,WCRLN,1808635,WCNF150420,Expired,0
2018-2019,WCRLN,1808636,WCNB15819,Expired,0
2018-2019,WCRLN,1808638,WCNB15472,Expired,0
2018-2019,WCRLN,1808639,WCNF152332,Expired,0
2018-2019,WCRLN,1808640,WCNB15460,Expired,0
2018-2019,WCRLN,1808645,WCND150323,Expired,0
2018-2019,WCRLN,1808646,WCNB15572,Expired,0
2018-2019,WCRLN,1808647,WCND150995,Expired,0
2018-2019,WCRLN,1808648,WCND150038,Expired,0
2018-2019,WCRLN,1808649,WCNB15209,Expired,0
2018-2019,WCRLN,1808650,WCND150111,Cancelled,0
2018-2019,WCRLN,1808651,WCNB151019,Expired,0
2018-2019,WCRLN,1808652,WCND151235,Expired,0
2018-2019,WCRLN,1808653,WCNB15711,Expired,0
2018-2019,WCRLN,1808654,WCND150082,Expired,0
2018-2019,WCRLN,1808655,WCNB15416,Expired,0
2018-2019,WCRLN,1808657,WCNB15211,Cancelled,0
2018-2019,WCRLN,1808658,WCND150326,Deleted,0
2018-2019,WCRLN,1808659,WCNB15804,Expired,0
2018-2019,WCRLN,1808660,WCNB151162,Expired,0
2018-2019,WCRLN,1808661,WCNB15220,Expired,0
2018-2019,WCRLN,1808662,WCND150321,Cancelled,0
2018-2019,WCRLN,1808663,WCNB15473,Expired,0
2018-2019,WCRLN,1808666,WCNB15364,Expired,0
2018-2019,WCRLN,1808667,WCNB150918,Cancelled,0
2018-2019,WCRLN,1808674,WCNE150316,Expired,0
2018-2019,WCRLN,1808675,WCNF151631,Expired,0
2018-2019,WCRLN,1808676,WCND150543,Awaiting approval,0
2018-2019,WCRLN,1808677,WCND151628,Expired,0
2018-2019,WCRLN,1808678,WCND151069,Expired,0
2018-2019,WCRLN,1808679,WCND150368,Expired,0
2018-2019,WCRLN,1808681,WCND151252,Expired,0
2018-2019,WCRLN,1808684,WCNE150664,Expired,0
2018-2019,WCRLN,1808685,WCNF150023,Expired,0
2018-2019,WCRLN,1808686,WCND150256,Expired,0
2018-2019,WCRLN,1808696,WCNB15064,Expired,0
2018-2019,WCRLN,1808697,WCNF150471,Expired,0
2018-2019,WCRLN,1808699,WCNF151220,Expired,0
2018-2019,WCRLN,1808700,WCNF151173,Expired,0
2018-2019,WCRLN,1808701,WCNF150242,Expired,0
2018-2019,WCRLN,1808702,WCNF152159,Expired,0
2018-2019,WCRLN,1808704,WCNF152014,Expired,0
2018-2019,WCRLN,1808708,WCNE150334,Expired,0
2018-2019,WCRLN,1808709,WCNF151168,Expired,0
2018-2019,WCRLN,1808710,WCNF156045,Cancelled,0
2018-2019,WCRLN,1808711,WCNF150304,Expired,0
2018-2019,WCRLN,1808712,WCNF152656,Expired,0
2018-2019,WCRLN,1808713,WCNF150279,Expired,0
2018-2019,WCRLN,1808714,WCND150326,Expired,0
2018-2019,WCRLN,1808717,WCNF150469,Expired,0
2018-2019,WCRLN,1808724,WCNE150663,Cancelled,0
2018-2019,WCRLN,1808730,WCNF150328,Expired,0
2018-2019,WCRLN,1808732,WCNB151605,Expired,0
2018-2019,WCRLN,1808733,WCNF151629,Expired,0
2018-2019,WCRLN,1808734,WCNF152492,Expired,0
2018-2019,WCRLN,1808735,WCND151712,Expired,0
2018-2019,WCRLN,1808736,WCND150912,Expired,0
2018-2019,WCRLN,1808737,WCND151268,Expired,0
2018-2019,WCRLN,1808738,WCND151840,Approved,0
2018-2019,WCRLN,1808739,WCNB15715,Expired,0
2018-2019,WCRLN,1808740,WCND151317,Expired,0
2018-2019,WCRLN,1808741,WCND150914,Expired,0
2018-2019,WCRLN,1808742,WCND150089,Expired,0
2018-2019,WCRLN,1808743,WCND151336,Expired,0
2018-2019,WCRLN,1808744,WCND150913,Expired,0
2018-2019,WCRLN,1808747,WCNF151275,Expired,0
2018-2019,WCRLN,1808748,WCNB15178,Expired,0
2018-2019,WCRLN,1808749,WCNF150748,Expired,0
2018-2019,WCRLN,1808750,WCNE151701,Expired,0
2018-2019,WCRLN,1808751,WCNF150772,Expired,0
2018-2019,WCRLN,1808752,WCNF151204,Expired,0
2018-2019,WCRLN,1808753,WCNF150511,Expired,0
2018-2019,WCRLN,1808754,WCNF152255,Expired,0
2018-2019,WCRLN,1808756,WCND151082,Expired,0
2018-2019,WCRLN,1808757,WCND151303,Expired,0
2018-2019,WCRLN,1808759,WCND150287,Expired,0
2018-2019,WCRLN,1808760,WCNE150340,Expired,0
2018-2019,WCRLN,1808762,WCND151213,Expired,0
2018-2019,WCRLN,1808765,WCNF151336,Expired,0
2018-2019,WCRLN,1808766,WCNE150310,Expired,0
2018-2019,WCRLN,1808767,WCNF152703,Cancelled,0
2018-2019,WCRLN,1808768,WCNF150879,Expired,0
2018-2019,WCRLN,1808769,WCNF150462,Expired,0
2018-2019,WCRLN,1808770,WCNF151134,Expired,0
2018-2019,WCRLN,1808771,WCNF150426,Expired,0
2018-2019,WCRLN,1808772,WCNE150313,Expired,0
2018-2019,WCRLN,1808774,WCNF150974,Expired,0
2018-2019,WCRLN,1808778,WCND151701,Expired,0
2018-2019,WCRLN,1808781,WCNE150317,Expired,0
2018-2019,WCRLN,1808782,WCND150991,Expired,0
2018-2019,WCRLN,1808783,WCNF152231,Expired,0
2018-2019,WCRLN,1808784,WCNF150159,Expired,0
2018-2019,WCRLN,1808785,WCND150996,Expired,0
2018-2019,WCRLN,1808787,WCNF150991,Approved,0
2018-2019,WCRLN,1808788,WCNF150334,Expired,0
2018-2019,WCRLN,1808789,WCNF150030,Approved,0
2018-2019,WCRLN,1808790,WCNF150953,Expired,0
2018-2019,WCRLN,1808791,WCND151431,Expired,0
2018-2019,WCRLN,1808794,WCND150325,Expired,0
2018-2019,WCRLN,1808795,WCNF151018,Expired,0
2018-2019,WCRLN,1808796,WCNF150290,Expired,0
2018-2019,WCRLN,1808802,WCND151211,Expired,0
2018-2019,WCRLN,1808803,WCND150147,Expired,0
2018-2019,WCRLN,1808809,WCNB151069,Expired,0
2018-2019,WCRLN,1808810,WCND150916,Expired,0
2018-2019,WCRLN,1808811,WCND150549,Expired,0
2018-2019,WCRLN,1808812,WCND150366,Expired,0
2018-2019,WCRLN,1808813,WCNF150940,Cancelled,0
2018-2019,WCRLN,1808814,WCND151621,Expired,0
2018-2019,WCRLN,1808837,WCNB15056,Expired,0
2018-2019,WCRLN,1808838,WCNF150350,Expired,0
2018-2019,WCRLN,1808839,WCNC15947,Expired,0
2018-2019,WCRLN,1808840,WCNC15490,Expired,0
2018-2019,WCRLN,1808849,WCNF150261,Expired,0
2018-2019,WCRLN,1808850,WCNF151185,Expired,0
2018-2019,WCRLN,1808852,WCNF150979,Expired,0
2018-2019,WCRLN,1808853,WCNF150393,Expired,0
2018-2019,WCRLN,1808855,WCNF151296,Expired,0
2018-2019,WCRLN,1808856,WCNF150560,Expired,0
2018-2019,WCRLN,1808858,WCNF150342,Expired,0
2018-2019,WCRLN,1808859,WCNF152267,Expired,0
2018-2019,WCRLN,1808860,WCNF150188,Approved,0
2018-2019,WCRLN,1808861,WCNF150550,Expired,0
2018-2019,WCRLN,1808862,WCNF150042,Expired,0
2018-2019,WCRLN,1808868,WCND151623,Deleted,0
2018-2019,WCRLN,1808870,WCNE150314,Expired,0
2018-2019,WCRLN,1808872,WCND151318,Cancelled,0
2018-2019,WCRLN,1808874,WCNF150982,Expired,0
2018-2019,WCRLN,1808876,WCNF151638,Expired,0
2018-2019,WCRLN,1808878,WCND151401,Expired,0
2018-2019,WCRLN,1808879,WCND150101,Expired,0
2018-2019,WCRLN,1808880,WCND150557,Expired,0
2018-2019,WCRLN,1808887,WCNF151284,Expired,0
2018-2019,WCRLN,1808888,WCNF150366,Expired,0
2018-2019,WCRLN,1808889,WCNB15720,Expired,0
2018-2019,WCRLN,1808890,WCNF150098,Expired,0
2018-2019,WCRLN,1808900,WCND151185,Expired,0
2018-2019,WCRLN,1808925,WCND150360,Expired,0
2018-2019,WCRLN,1808928,WCND151000,Expired,0
2018-2019,WCRLN,1808932,WCND151486,Expired,0
2018-2019,WCRLN,1808934,WCND150357,Expired,0
2018-2019,WCRLN,1808937,WCND150099,Expired,0
2018-2019,WCRLN,1808938,WCND151718,Cancelled,0
2018-2019,WCRLN,1808943,WCNC15181,Expired,0
2018-2019,WCRLN,1808944,WCNB15360,Approved,0
2018-2019,WCRLN,1808946,WCND150322,Expired,0
2018-2019,WCRLN,1808947,WCNC16060,Expired,0
2018-2019,WCRLN,1808951,WCNB151615,Expired,0
2018-2019,WCRLN,1808953,WCNB15712,Expired,0
2018-2019,WCRLN,1808954,WCNB151081,Expired,0
2018-2019,WCRLN,1808955,WCNB151080,Expired,0
2018-2019,WCRLN,1808956,WCNE150554,Expired,0
2018-2019,WCRLN,1808957,WCNB151760,Cancelled,0
2018-2019,WCRLN,1808960,WCND151641,Expired,0
2018-2019,WCRLN,1808971,WCNB15563,Expired,0
2018-2019,WCRLN,1808982,WCNF150436,Expired,0
2018-2019,WCRLN,1808983,WCNF150329,Expired,0
2018-2019,WCRLN,1808991,WCNB15485,Expired,0
2018-2019,WCRLN,1808993,WCNF150444,Expired,0
2018-2019,WCRLN,1808995,WCNF151709,Approved,0
2018-2019,WCRLN,1809013,WCNB15313,Expired,0
2018-2019,WCRLN,1809014,WCND151403,Expired,0
2018-2019,WCRLN,1809050,WCNE150330,Expired,0
2018-2019,WCRLN,1809051,WCNE150322,Expired,0
2018-2019,WCRLN,1809052,WCNF150205,Expired,0
2018-2019,WCRLN,1809053,WCNF150910,Expired,0
2018-2019,WCRLN,1809054,WCNF152088,Expired,0
2018-2019,WCRLN,1809059,WCNB15557,Expired,0
2018-2019,WCRLN,1809061,WCNB15561,Expired,0
2018-2019,WCRLN,1809062,WCNB15193,Expired,0
2018-2019,WCRLN,1809064,WCNA15424,Expired,0
2018-2019,WCRLN,1809065,WCNA15320,Expired,0
2018-2019,WCRLN,1809066,WCNA15319,Expired,0
2018-2019,WCRLN,1809067,WCNA15331,Expired,0
2018-2019,WCRLN,1809068,WCNA15321,Expired,0
2018-2019,WCRLN,1809072,WCNB15457,Cancelled,0
2018-2019,WCRLN,1809073,WCNF150534,Awaiting approval,0
2018-2019,WCRLN,1809075,WCND151305,Expired,0
2018-2019,WCRLN,1809076,WCND151420,Expired,0
2018-2019,WCRLN,1809077,WCND150149,Expired,0
2018-2019,WCRLN,1809078,WCND150394,Expired,0
2018-2019,WCRLN,1809079,WCND150226,Expired,0
2018-2019,WCRLN,1809081,WCNF150816,Approved,0
2018-2019,WCRLN,1809082,WCNF150260,Approved,0
2018-2019,WCRLN,1809098,WCNF150036,Expired,0
2018-2019,WCRLN,1809099,WCNF150535,Cancelled,0
2018-2019,WCRLN,1809101,WCNF150716,Approved,0
2018-2019,WCRLN,1809102,WCNF150133,Approved,0
2018-2019,WCRLN,1809103,WCNF150053,Expired,0
2018-2019,WCRLN,1809104,WCNF151467,Expired,0
2018-2019,WCRLN,1809105,WCNA15313,Cancelled,0
2018-2019,WCRLN,1809106,WCNF150327,Expired,0
2018-2019,WCRLN,1809107,WCNF150312,Cancelled,0
2018-2019,WCRLN,1809115,WCND151273,Expired,0
2018-2019,WCRLN,1809116,WCND151714,Expired,0
2018-2019,WCRLN,1809118,WCNA15454,Expired,0
2018-2019,WCRLN,1809119,WCNF150514,Expired,0
2018-2019,WCRLN,1809121,WCNB15237,Expired,0
2018-2019,WCRLN,1809122,WCNF151265,Expired,0
2018-2019,WCRLN,1809130,WCNB15732,Expired,0
2018-2019,WCRLN,1809131,WCNB15367,Expired,0
2018-2019,WCRLN,1809132,WCNB151800,Expired,0
2018-2019,WCRLN,1809133,WCNB15494,Expired,0
2018-2019,WCRLN,1809134,WCNB151164,Expired,0
2018-2019,WCRLN,1809135,WCNB15703,Expired,0
2018-2019,WCRLN,1809142,WCNB151163,Expired,0
2018-2019,WCRLN,1809143,WCNF150918,Approved,0
2018-2019,WCRLN,1809144,WCNB15723,Expired,0
2018-2019,WCRLN,1809145,WCNF152371,Expired,0
2018-2019,WCRLN,1809147,WCNE150668,Cancelled,0
2018-2019,WCRLN,1809150,WCNE150667,Expired,0
2018-2019,WCRLN,1809193,WCNA15328,Expired,0
2018-2019,WCRLN,1809194,WCNA15316,Expired,0
2018-2019,WCRLN,1809199,WCNF150855,Approved,0
2018-2019,WCRLN,1809200,WCND150302,Expired,0
2018-2019,WCRLN,1809201,WCND150307,Expired,0
2018-2019,WCRLN,1809207,WCNF150162,Expired,0
2018-2019,WCRLN,1809209,WCNF152087,Approved,0
2018-2019,WCRLN,1809210,WCND150999,Expired,0
2018-2019,WCRLN,1809213,WCNA15462,Expired,0
2018-2019,WCRLN,1809214,WCNB151048,Expired,0
2018-2019,WCRLN,1809216,WCNA15431,Expired,0
2018-2019,WCRLN,1809217,WCNA15448,Expired,0
2018-2019,WCRLN,1809218,WCNA15427,Expired,0
2018-2019,WCRLN,1809222,WCND150381,Expired,0
2018-2019,WCRLN,1809226,WCNA15446,Expired,0
2018-2019,WCRLN,1809227,WCND151250,Expired,0
2018-2019,WCRLN,1809228,WCNF150563,Expired,0
2018-2019,WCRLN,1809229,WCNF150115,Expired,0
2018-2019,WCRLN,1809230,WCNF152051,Expired,0
2018-2019,WCRLN,1809231,WCNF150878,Approved,0
2018-2019,WCRLN,1809232,WCNF151884,Expired,0
2018-2019,WCRLN,1809243,WCNE150614,Expired,0
2018-2019,WCRLN,1809245,WCNE150666,Expired,0
2018-2019,WCRLN,1809246,WCND150396,Expired,0
2018-2019,WCRLN,1809248,WCNF150101,Approved,0
2018-2019,WCRLN,1809249,WCNF150105,Approved,0
2018-2019,WCRLN,1809271,WCND151461,Expired,0
2018-2019,WCRLN,1809273,WCND151232,Cancelled,0
2018-2019,WCRLN,1809277,WCNB 15728,Deleted,0
2018-2019,WCRLN,1809286,WCNF150100,Expired,0
2018-2019,WCRLN,1809293,WCNF150445,Approved,0
2018-2019,WCRLN,1809295,WCNB15900,Expired,0
2018-2019,WCRLN,1809296,WCNB150912,New,0
2018-2019,WCRLN,1809297,WCNB150919,Cancelled,0
2018-2019,WCRLN,1809303,WCND151361,Cancelled,0
2018-2019,WCRLN,1809304,WCND150811,Expired,0
2018-2019,WCRLN,1809305,WCND150143,Expired,0
2018-2019,WCRLN,1809306,WCND151363,Cancelled,0
2018-2019,WCRLN,1809307,WCNB15625,Expired,0
2018-2019,WCRLN,1809308,WCND150214,Cancelled,0
2018-2019,WCRLN,1809309,WCNB15594,Expired,0
2018-2019,WCRLN,1809310,WCND151096,Expired,0
2018-2019,WCRLN,1809314,WCND151364,Expired,0
2018-2019,WCRLN,1809317,WCNF152757,Expired,0
2018-2019,WCRLN,1809320,WCNF150756,Approved,0
2018-2019,WCRLN,1809322,WCNF150784,Cancelled,0
2018-2019,WCRLN,1809324,WCND151813,Expired,0
2018-2019,WCRLN,1809325,WCND151070,Expired,0
2018-2019,WCRLN,1809326,WCND150365,Expired,0
2018-2019,WCRLN,1809327,WCND150915,Expired,0
2018-2019,WCRLN,1809328,WCND151623,Expired,0
2018-2019,WCRLN,1809330,WCND150640,Expired,0
2018-2019,WCRLN,1809333,WCND151304,Expired,0
2018-2019,WCRLN,1809343,WCNA15464,Expired,0
2018-2019,WCRLN,1809359,WCNC15521,Expired,0
2018-2019,WCRLN,1809360,WCND151433,Expired,0
2018-2019,WCRLN,1809363,WCNC15082,Expired,0
2018-2019,WCRLN,1809364,WCNC16032,Expired,0
2018-2019,WCRLN,1809370,WCNC15811,Expired,0
2018-2019,WCRLN,1809382,WCND151093,Expired,0
2018-2019,WCRLN,1809384,WCNF150728,Expired,0
2018-2019,WCRLN,1809387,WCNE150331,Expired,0
2018-2019,WCRLN,1809388,WCNF151208,Approved,0
2018-2019,WCRLN,1809401,WCNF150075,Approved,0
2018-2019,WCRLN,1809402,WCND151472,Expired,0
2018-2019,WCRLN,1809404,WCNF151931,Approved,0
2018-2019,WCRLN,1809406,WCND151815,Expired,0
2018-2019,WCRLN,1809407,WCNF150325,Expired,0
2018-2019,WCRLN,1809408,WCND150456,Expired,0
2018-2019,WCRLN,1809413,WCNF151394,Approved,0
2018-2019,WCRLN,1809414,WCNF152169,Cancelled,0
2018-2019,WCRLN,1809446,WCNF150523,Approved,0
2018-2019,WCRLN,1809447,WCNC15849,Expired,0
2018-2019,WCRLN,1809471,WCND151385,Expired,0
2018-2019,WCRLN,1809472,WCND150111,Expired,0
2018-2019,WCRLN,1809478,WCNE150663,Expired,0
2018-2019,WCRLN,1809499,WCNF152732,Expired,0
2018-2019,WCRLN,1809505,WCNF150344,Expired,0
2018-2019,WCRLN,1809506,WCNF150016,Deleted,0
2018-2019,WCRLN,1809522,WCNF150085,Approved,0
2018-2019,WCRLN,1809523,WCNF150287,Approved,0
2018-2019,WCRLN,1809534,WCNB15728,Approved,0
2018-2019,WCRLN,1809544,WCNC15517,Cancelled,0
2018-2019,WCRLN,1809546,WCNC15910,Expired,0
2018-2019,WCRLN,1809549,WCNC15961,Expired,0
2018-2019,WCRLN,1809550,WCNC15514,Cancelled,0
2018-2019,WCRLN,1809551,WCNC15513,Expired,0
2018-2019,WCRLN,1809552,WCNC15519,Cancelled,0
2018-2019,WCRLN,1809553,WCNC15450,Expired,0
2018-2019,WCRLN,1809554,WCNC15515,Expired,0
2018-2019,WCRLN,1809555,WCNC15479,Expired,0
2018-2019,WCRLN,1809558,WCNB15113,Expired,0
2018-2019,WCRLN,1809559,WCNB151720,Expired,0
2018-2019,WCRLN,1809562,WCNB15611,Expired,0
2018-2019,WCRLN,1809564,WCNB15722,Expired,0
2018-2019,WCRLN,1809566,WCND151330,Expired,0
2018-2019,WCRLN,1809569,WCND150646,Cancelled,0
2018-2019,WCRLN,1809572,WCND151745,Expired,0
2018-2019,WCRLN,1809575,WCND151365,Expired,0
2018-2019,WCRLN,1809576,WCND151384,Expired,0
2018-2019,WCRLN,1809580,WCNB15361,Expired,0
2018-2019,WCRLN,1809581,WCNB15593,Expired,0
2018-2019,WCRLN,1809582,WCNB15698,Expired,0
2018-2019,WCRLN,1809591,WCNB151001,Expired,0
2018-2019,WCRLN,1809592,WCNE150407,Expired,0
2018-2019,WCRLN,1809593,WCNF152530,Expired,0
2018-2019,WCRLN,1809594,WCNF150089,Cancelled,0
2018-2019,WCRLN,1809595,WCNF150392,Expired,0
2018-2019,WCRLN,1809596,WCNE150435,Expired,0
2018-2019,WCRLN,1809597,WCNF150037,Expired,0
2018-2019,WCRLN,1809604,WCNF152387,Expired,0
2018-2019,WCRLN,1809613,WCNB15377,Cancelled,0
2018-2019,WCRLN,1809614,WCNB15812,Cancelled,0
2018-2019,WCRLN,1809615,WCNC15507,Cancelled,0
2018-2019,WCRLN,1809616,WCNF156236,Expired,0
2018-2019,WCRLN,1809617,WCNC15509,Expired,0
2018-2019,WCRLN,1809618,WCNF152350,Expired,0
2018-2019,WCRLN,1809620,WCNF152724,Expired,0
2018-2019,WCRLN,1809623,WCNF151476,Expired,0
2018-2019,WCRLN,1809624,WCNC16765,Expired,0
2018-2019,WCRLN,1809628,WCNF150896,Expired,0
2018-2019,WCRLN,1809629,WCNC15814,Expired,0
2018-2019,WCRLN,1809630,WCNB151634,Expired,0
2018-2019,WCRLN,1809642,WCNF150483,Expired,0
2018-2019,WCRLN,1809666,WCNF151355,Expired,0
2018-2019,WCRLN,1809667,WCNF150215,Expired,0
2018-2019,WCRLN,1809671,WCND150311,Expired,0
2018-2019,WCRLN,1809680,WCNC15506,Expired,0
2018-2019,WCRLN,1809685,WCNF152327,Cancelled,0
2018-2019,WCRLN,1809688,WCNF151128,Cancelled,0
2018-2019,WCRLN,1809689,WCNF152254,Cancelled,0
2018-2019,WCRLN,1809690,WCNF150701,Cancelled,0
2018-2019,WCRLN,1809723,WCNC15994,Expired,0
2018-2019,WCRLN,1809726,WCNF152362,Expired,0
2018-2019,WCRLN,1809727,WCNF156032,Cancelled,0
2018-2019,WCRLN,1809739,WCNB151371,Cancelled,0
2018-2019,WCRLN,1809746,WCNA15254,Expired,0
2018-2019,WCRLN,1809748,WCNA15256,Expired,0
2018-2019,WCRLN,1809749,WCNF150770,Expired,0
2018-2019,WCRLN,1809753,WCNF152023,Expired,0
2018-2019,WCRLN,1809755,WCND151748,Expired,0
2018-2019,WCRLN,1809756,WCNF150755,Expired,0
2018-2019,WCRLN,1809758,WCNF150035,Expired,0
2018-2019,WCRLN,1809759,WCND151741,Cancelled,0
2018-2019,WCRLN,1809760,WCNF151721,Expired,0
2018-2019,WCRLN,1809761,WCNF151121,Expired,0
2018-2019,WCRLN,1809763,WCNB151058,Expired,0
2018-2019,WCRLN,1809764,WCNF151841,Expired,0
2018-2019,WCRLN,1809765,WCNF150387,Expired,0
2018-2019,WCRLN,1809766,WCNF150501,Expired,0
2018-2019,WCRLN,1809772,WCNB151786,Expired,0
2018-2019,WCRLN,1809777,WCNF152401,Expired,0
2018-2019,WCRLN,1809778,WCNF151246,Expired,0
2018-2019,WCRLN,1809784,WCNF152416,Expired,0
2018-2019,WCRLN,1809785,WCNF151032,Expired,0
2018-2019,WCRLN,1809786,WCNF150026,Expired,0
2018-2019,WCRLN,1809791,WCND150213,Expired,0
2018-2019,WCRLN,1809792,WCNB15213,Expired,0
2018-2019,WCRLN,1809798,WCNF152703,Expired,0
2018-2019,WCRLN,1809799,WCND151318,Expired,0
2018-2019,WCRLN,1809800,WCND151232,Expired,0
2018-2019,WCRLN,1809810,WCNE151553,Expired,0
2018-2019,WCRLN,1809811,WCND150697,Expired,0
2018-2019,WCRLN,1809845,WCND151362,Expired,0
2018-2019,WCRLN,1809848,WCND150040,Expired,0
2018-2019,WCRLN,1809849,WCND151301,Expired,0
2018-2019,WCRLN,1809852,WCND150349,Cancelled,0
